title,url,address,title_kakao,nearby_attraction_1,nearby_attraction_2
애월스쿠버다이빙스쿨,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001668&prdtDiv=COUP,제주시 애월읍 애월로13길 45,,,
빅볼랜드,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000825&prdtDiv=COUP,제주시 애월읍 어음리 산3번지,제주빅볼랜드,,
폴개협동조합 블루베리체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001498&prdtDiv=COUP,서귀포시 남원읍 남원리 483 강명실 교육농장,,,
제주항공우주박물관 특별권,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001669&prdtDiv=COUP,서귀포시 안덕면 녹차분재로 218,제주항공우주박물관,,
바다랜드 프리 pass [국제리더스클럽],www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000412&prdtDiv=COUP,제주시 조천읍 조함해안로 321-21,,,
올림픽 양궁체험 - 금메달을 쏴라~! 20% 할인,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001665&prdtDiv=COUP,제주시 1100로 2894-63 도깨비장군활터,,,
점보빌리지 코끼리 테마쇼,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000524&prdtDiv=COUP,서귀포시 안덕면 평화로319번길 31-11,,,
제이엠 그랑블루요트-선셋투어(18시 출항),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000555&prdtDiv=COUP,서귀포시 대포로 172-7,,,
제이엠 그랑블루요트-럭셔리투어,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000556&prdtDiv=COUP,서귀포시 대포로 172-7,,,
패들요가(국제리더스클럽),www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00001428&prdtDiv=COUP,제주시 조천읍 신흥리 1-11,함덕,,
서귀포 제주캔들 만들기 체험,www.tamnao.com/web/sp/detailPrdt.do?prdtNum=SP00000872&prdtDiv=COUP,서귀포시 하효동 951-1 1층 아로마제주,제주러브랜드,제주도립미술관,신비의도로
